v.test,Mean in category,Overall mean,sd in category,Overall sd,p.value,cluster,factors
9.252130482501201,3.659712754333333,-2.2448964229487948e-10,1.3782888868608052,0.9948848769020858,2.200618466263279e-20,1,simulations_games
-2.177268704476956,-0.8612262939999998,3.061200499437129e-11,1.1102230246251565e-16,0.9948848768344457,0.029460524763560807,1,socializing_technology_use
5.371458430422593,0.8169077387999999,-1.4285729175575298e-10,1.2783407748904922,0.9948848772089482,7.810237412447865e-8,2,instructional_design
3.775087608197691,0.5741268078333331,2.142855326288016e-10,1.2616488558695207,0.9948848767550312,1.5995143855026885e-4,2,subject_areas
3.5077376224217005,0.5334674084,-2.857143297462432e-10,0.9044366745841359,0.9948848771406444,4.5193454080466887e-4,2,methods
2.1143468405710086,0.32155629979999995,1.8367348005344356e-10,0.8380135085355207,0.994884876954225,0.034485654443434294,2,teacher_pipeline
-2.0304187031911654,-0.30879225276666666,3.5714292974245384e-10,0.5672213699026775,0.994884876825004,0.04231399710939625,2,specific_technologies
-2.603510034028727,-0.39594972633333353,-1.7346954258522258e-10,0.8190422734948664,0.9948848769242908,0.0092274566545174,2,attitudes_beliefs
-4.014469273385406,-0.6105326995,3.061200499437129e-11,0.3829407910122715,0.9948848768344457,5.957970427507306e-5,2,socializing_technology_use
3.3731924676791976,0.5130053723333332,1.8367348005344356e-10,0.838013508351233,0.994884876954225,7.430199555627543e-4,3,teacher_pipeline
-3.09869183206378,-0.4712584803333332,3.061200499437129e-11,0.46941817209620895,0.9948848768344457,0.0019437708739348577,3,socializing_technology_use
-3.4374077531771174,-0.5227714278000003,2.142855326288016e-10,0.30719295059120616,0.9948848767550312,5.873107334701933e-4,3,subject_areas
-3.4894387063012084,-0.5306844540333336,-1.4285729175575298e-10,0.2687780019500492,0.9948848772089482,4.840360485634305e-4,3,instructional_design
-4.676983496562268,-0.7112898785333334,-2.857143297462432e-10,0.5446275639411438,0.9948848771406444,2.9112567722634055e-6,3,methods
8.069312835534427,1.3564478111923077,3.061200499437129e-11,0.6930668252528653,0.9948848768344457,7.069491476268189e-16,4,socializing_technology_use
2.149920913042969,0.3614007258076921,-1.7346954258522258e-10,1.1101809421142474,0.9948848769242908,0.03156147109894145,4,attitudes_beliefs
-4.140815242882327,-0.6960691556153845,1.8367348005344356e-10,0.9217232858522192,0.994884876954225,3.4607363201237975e-5,4,teacher_pipeline
5.644919764373298,2.2328678676666667,3.5714292974245384e-10,1.1232656917467616,0.994884876825004,1.6525830129379757e-8,5,specific_technologies
4.468877667461612,1.7676802796666664,-3.673468898682876e-10,1.335724208023821,0.9948848771485185,7.86310822573747e-6,5,phenomonology
3.41040588882328,1.3489980446666667,-2.857143297462432e-10,0.8848734090143798,0.9948848771406444,6.486626621080915e-4,5,methods
2.158313051575463,0.853728319,2.142855326288016e-10,1.325830361663516,0.9948848767550312,0.030903500662824743,5,subject_areas
-2.4298924043868877,-0.961152487,1.8367348005344356e-10,0.43866493361205056,0.994884876954225,0.015103305728561733,5,teacher_pipeline
